epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,41.1371,1.15305,1.71711,1.62912,0.83793,0.47024,0.5241,0.31524,1.77347,2.12315,1.49212,1.52077e-05,1.52077e-05,1.52077e-05
88,41.6118,0.62131,0.83716,1.06702,0.86842,0.46353,0.51708,0.31129,1.81211,2.25805,1.53521,1.43596e-05,1.43596e-05,1.43596e-05
89,42.0815,0.68416,0.71001,1.32868,0.86842,0.46353,0.51708,0.31129,1.81211,2.25805,1.53521,1.34879e-05,1.34879e-05,1.34879e-05
90,42.54,0.84304,0.76727,1.26432,0.86842,0.46353,0.51708,0.31129,1.81211,2.25805,1.53521,1.25927e-05,1.25927e-05,1.25927e-05
91,43.9877,0.50808,0.50726,0.94012,0.86842,0.46353,0.51708,0.31129,1.81211,2.25805,1.53521,1.16739e-05,1.16739e-05,1.16739e-05
92,44.495,0.48691,0.47524,0.83334,0.83747,0.47428,0.52301,0.31248,1.78354,2.1179,1.48609,1.07315e-05,1.07315e-05,1.07315e-05
93,44.9929,0.58814,0.51787,0.9665,0.83747,0.47428,0.52301,0.31248,1.78354,2.1179,1.48609,9.76562e-06,9.76562e-06,9.76562e-06
94,45.4548,0.59064,0.51599,1.0457,0.83747,0.47428,0.52301,0.31248,1.78354,2.1179,1.48609,8.77613e-06,8.77613e-06,8.77613e-06
95,45.9316,0.63673,0.61571,1.03815,0.83747,0.47428,0.52301,0.31248,1.78354,2.1179,1.48609,7.76308e-06,7.76308e-06,7.76308e-06
96,46.4355,0.6512,0.512,1.22244,0.87181,0.46527,0.52198,0.29375,1.78752,1.98543,1.44993,6.72648e-06,6.72648e-06,6.72648e-06
97,46.8735,0.62147,0.51721,0.98412,0.87181,0.46527,0.52198,0.29375,1.78752,1.98543,1.44993,5.6663e-06,5.6663e-06,5.6663e-06
98,47.3016,0.55398,0.53101,1.0953,0.87181,0.46527,0.52198,0.29375,1.78752,1.98543,1.44993,4.58257e-06,4.58257e-06,4.58257e-06
99,47.7461,0.51235,0.51022,0.92333,0.87181,0.46527,0.52198,0.29375,1.78752,1.98543,1.44993,3.47528e-06,3.47528e-06,3.47528e-06
100,48.2057,0.48944,0.46274,0.99328,0.86684,0.48333,0.53644,0.33349,1.78896,1.89203,1.46301,2.34442e-06,2.34442e-06,2.34442e-06
